timestampUtc,name,cpuPercent,memoryUsage,memoryPercent,pids
2026-08-06T05:36:29.8164189Z,doeng-exp148-p-flux-corrected-1,206.00%,512.8MiB / 3GiB,16.69%,33
2026-08-06T05:36:29.8164189Z,doeng-exp148-p-mariadb-1,0.83%,83.48MiB / 1GiB,8.15%,15
2026-08-06T05:36:29.8164189Z,doeng-exp148-p-experiment-mock-1,0.46%,57.37MiB / 1GiB,5.60%,7
2026-08-06T05:36:33.0517537Z,doeng-exp148-p-flux-corrected-1,200.37%,735.8MiB / 3GiB,23.95%,33
2026-08-06T05:36:33.0517537Z,doeng-exp148-p-mariadb-1,0.03%,83.48MiB / 1GiB,8.15%,15
2026-08-06T05:36:33.0517537Z,doeng-exp148-p-experiment-mock-1,121.67%,219.8MiB / 1GiB,21.46%,7
2026-08-06T05:36:36.2895401Z,doeng-exp148-p-flux-corrected-1,228.08%,878.3MiB / 3GiB,28.59%,33
2026-08-06T05:36:36.2895401Z,doeng-exp148-p-mariadb-1,5.85%,84.96MiB / 1GiB,8.30%,24
2026-08-06T05:36:36.2895401Z,doeng-exp148-p-experiment-mock-1,115.86%,289.2MiB / 1GiB,28.24%,14
2026-08-06T05:36:39.5951210Z,doeng-exp148-p-flux-corrected-1,199.78%,1.239GiB / 3GiB,41.31%,33
2026-08-06T05:36:39.5951210Z,doeng-exp148-p-mariadb-1,4.88%,85.52MiB / 1GiB,8.35%,25
2026-08-06T05:36:39.5951210Z,doeng-exp148-p-experiment-mock-1,88.62%,254MiB / 1GiB,24.81%,7
2026-08-06T05:36:42.6626292Z,doeng-exp148-p-flux-corrected-1,200.50%,1.367GiB / 3GiB,45.57%,33
2026-08-06T05:36:42.6626292Z,doeng-exp148-p-mariadb-1,5.51%,85.64MiB / 1GiB,8.36%,25
2026-08-06T05:36:42.6626292Z,doeng-exp148-p-experiment-mock-1,41.98%,136.3MiB / 1GiB,13.32%,7
2026-08-06T05:36:45.9288925Z,doeng-exp148-p-flux-corrected-1,207.57%,1.837GiB / 3GiB,61.22%,33
2026-08-06T05:36:45.9288925Z,doeng-exp148-p-mariadb-1,3.44%,85.95MiB / 1GiB,8.39%,25
2026-08-06T05:36:45.9288925Z,doeng-exp148-p-experiment-mock-1,25.31%,99.5MiB / 1GiB,9.72%,7
2026-08-06T05:36:49.2150218Z,doeng-exp148-p-flux-corrected-1,204.45%,1.879GiB / 3GiB,62.65%,33
2026-08-06T05:36:49.2150218Z,doeng-exp148-p-mariadb-1,2.13%,85.98MiB / 1GiB,8.40%,25
2026-08-06T05:36:49.2150218Z,doeng-exp148-p-experiment-mock-1,0.79%,105.6MiB / 1GiB,10.31%,7
2026-08-06T05:36:52.2903304Z,doeng-exp148-p-flux-corrected-1,201.62%,2.121GiB / 3GiB,70.70%,33
2026-08-06T05:36:52.2903304Z,doeng-exp148-p-mariadb-1,0.04%,85.98MiB / 1GiB,8.40%,25
2026-08-06T05:36:52.2903304Z,doeng-exp148-p-experiment-mock-1,0.02%,103.3MiB / 1GiB,10.09%,7
2026-08-06T05:36:55.5148601Z,doeng-exp148-p-flux-corrected-1,212.34%,2.194GiB / 3GiB,73.14%,33
2026-08-06T05:36:55.5148601Z,doeng-exp148-p-mariadb-1,2.26%,85.98MiB / 1GiB,8.40%,25
2026-08-06T05:36:55.5148601Z,doeng-exp148-p-experiment-mock-1,75.13%,65.5MiB / 1GiB,6.40%,7
2026-08-06T05:36:58.7868370Z,doeng-exp148-p-flux-corrected-1,202.01%,2.266GiB / 3GiB,75.54%,33
2026-08-06T05:36:58.7868370Z,doeng-exp148-p-mariadb-1,16.40%,85.98MiB / 1GiB,8.40%,25
2026-08-06T05:36:58.7868370Z,doeng-exp148-p-experiment-mock-1,102.26%,218.3MiB / 1GiB,21.32%,7
2026-08-06T05:37:01.8301441Z,doeng-exp148-p-flux-corrected-1,202.92%,2.264GiB / 3GiB,75.46%,34
2026-08-06T05:37:01.8301441Z,doeng-exp148-p-mariadb-1,0.02%,85.98MiB / 1GiB,8.40%,25
2026-08-06T05:37:01.8301441Z,doeng-exp148-p-experiment-mock-1,65.52%,313.8MiB / 1GiB,30.65%,7
2026-08-06T05:37:05.0514786Z,doeng-exp148-p-flux-corrected-1,188.83%,2.299GiB / 3GiB,76.64%,34
2026-08-06T05:37:05.0514786Z,doeng-exp148-p-mariadb-1,22.77%,86.16MiB / 1GiB,8.41%,25
2026-08-06T05:37:05.0514786Z,doeng-exp148-p-experiment-mock-1,117.05%,448.9MiB / 1GiB,43.83%,7
2026-08-06T05:37:08.2830124Z,doeng-exp148-p-flux-corrected-1,118.65%,2.284GiB / 3GiB,76.12%,34
2026-08-06T05:37:08.2830124Z,doeng-exp148-p-mariadb-1,4.37%,86.21MiB / 1GiB,8.42%,25
2026-08-06T05:37:08.2830124Z,doeng-exp148-p-experiment-mock-1,40.53%,178.5MiB / 1GiB,17.43%,7
2026-08-06T05:37:11.3116861Z,doeng-exp148-p-flux-corrected-1,15.48%,2.285GiB / 3GiB,76.16%,34
2026-08-06T05:37:11.3116861Z,doeng-exp148-p-mariadb-1,0.03%,86.22MiB / 1GiB,8.42%,25
2026-08-06T05:37:11.3116861Z,doeng-exp148-p-experiment-mock-1,1.45%,136.3MiB / 1GiB,13.31%,7
2026-08-06T05:37:14.5031174Z,doeng-exp148-p-flux-corrected-1,15.19%,2.282GiB / 3GiB,76.06%,34
2026-08-06T05:37:14.5031174Z,doeng-exp148-p-mariadb-1,0.02%,86.22MiB / 1GiB,8.42%,25
2026-08-06T05:37:14.5031174Z,doeng-exp148-p-experiment-mock-1,40.20%,159.7MiB / 1GiB,15.60%,14
2026-08-06T05:37:17.7203264Z,doeng-exp148-p-flux-corrected-1,3.14%,2.282GiB / 3GiB,76.07%,34
2026-08-06T05:37:17.7203264Z,doeng-exp148-p-mariadb-1,0.04%,86.21MiB / 1GiB,8.42%,25
2026-08-06T05:37:17.7203264Z,doeng-exp148-p-experiment-mock-1,31.99%,135.7MiB / 1GiB,13.25%,7
2026-08-06T05:37:20.7729806Z,doeng-exp148-p-flux-corrected-1,2.48%,2.283GiB / 3GiB,76.09%,34
2026-08-06T05:37:20.7729806Z,doeng-exp148-p-mariadb-1,0.02%,86.33MiB / 1GiB,8.43%,25
2026-08-06T05:37:20.7729806Z,doeng-exp148-p-experiment-mock-1,34.89%,128.9MiB / 1GiB,12.59%,7
2026-08-06T05:37:23.9480604Z,doeng-exp148-p-flux-corrected-1,5.48%,2.283GiB / 3GiB,76.09%,34
2026-08-06T05:37:23.9480604Z,doeng-exp148-p-mariadb-1,3.37%,86.23MiB / 1GiB,8.42%,25
