timestampUtc,name,cpuPercent,memoryUsage,memoryPercent,pids
2026-08-06T05:40:55.1492293Z,doeng-exp148-d-flux-corrected-1,16.46%,367.2MiB / 3GiB,11.95%,33
2026-08-06T05:40:55.1492293Z,doeng-exp148-d-mariadb-1,3.94%,83.24MiB / 1GiB,8.13%,16
2026-08-06T05:40:55.1492293Z,doeng-exp148-d-experiment-mock-1,27.46%,28.89MiB / 1GiB,2.82%,7
2026-08-06T05:40:58.3640414Z,doeng-exp148-d-flux-corrected-1,207.27%,585.6MiB / 3GiB,19.06%,33
2026-08-06T05:40:58.3640414Z,doeng-exp148-d-mariadb-1,1.92%,83.26MiB / 1GiB,8.13%,17
2026-08-06T05:40:58.3640414Z,doeng-exp148-d-experiment-mock-1,71.79%,110.8MiB / 1GiB,10.82%,7
2026-08-06T05:41:01.4140619Z,doeng-exp148-d-flux-corrected-1,200.10%,823.8MiB / 3GiB,26.82%,33
2026-08-06T05:41:01.4140619Z,doeng-exp148-d-mariadb-1,8.46%,84.84MiB / 1GiB,8.29%,24
2026-08-06T05:41:01.4140619Z,doeng-exp148-d-experiment-mock-1,87.38%,182MiB / 1GiB,17.77%,14
2026-08-06T05:41:04.6532734Z,doeng-exp148-d-flux-corrected-1,196.28%,930MiB / 3GiB,30.27%,33
2026-08-06T05:41:04.6532734Z,doeng-exp148-d-mariadb-1,12.41%,85.47MiB / 1GiB,8.35%,25
2026-08-06T05:41:04.6532734Z,doeng-exp148-d-experiment-mock-1,122.67%,160.7MiB / 1GiB,15.69%,7
2026-08-06T05:41:07.8865598Z,doeng-exp148-d-flux-corrected-1,205.10%,1.383GiB / 3GiB,46.11%,33
2026-08-06T05:41:07.8865598Z,doeng-exp148-d-mariadb-1,16.30%,85.88MiB / 1GiB,8.39%,25
2026-08-06T05:41:07.8865598Z,doeng-exp148-d-experiment-mock-1,86.05%,83.19MiB / 1GiB,8.12%,7
2026-08-06T05:41:11.2819322Z,doeng-exp148-d-flux-corrected-1,220.02%,1.639GiB / 3GiB,54.65%,33
2026-08-06T05:41:11.2819322Z,doeng-exp148-d-mariadb-1,0.88%,85.67MiB / 1GiB,8.37%,25
2026-08-06T05:41:11.2819322Z,doeng-exp148-d-experiment-mock-1,23.68%,87.48MiB / 1GiB,8.54%,7
2026-08-06T05:41:15.0078215Z,doeng-exp148-d-flux-corrected-1,211.75%,1.896GiB / 3GiB,63.19%,33
2026-08-06T05:41:15.0078215Z,doeng-exp148-d-mariadb-1,4.62%,85.73MiB / 1GiB,8.37%,25
2026-08-06T05:41:15.0078215Z,doeng-exp148-d-experiment-mock-1,57.03%,56.55MiB / 1GiB,5.52%,7
2026-08-06T05:41:18.4481682Z,doeng-exp148-d-flux-corrected-1,196.92%,1.871GiB / 3GiB,62.36%,33
2026-08-06T05:41:18.4481682Z,doeng-exp148-d-mariadb-1,1.87%,85.73MiB / 1GiB,8.37%,25
2026-08-06T05:41:18.4481682Z,doeng-exp148-d-experiment-mock-1,95.41%,134.1MiB / 1GiB,13.09%,7
2026-08-06T05:41:21.5459534Z,doeng-exp148-d-flux-corrected-1,207.67%,2.06GiB / 3GiB,68.66%,33
2026-08-06T05:41:21.5459534Z,doeng-exp148-d-mariadb-1,0.25%,85.75MiB / 1GiB,8.37%,25
2026-08-06T05:41:21.5459534Z,doeng-exp148-d-experiment-mock-1,93.87%,189.9MiB / 1GiB,18.54%,7
2026-08-06T05:41:24.8268328Z,doeng-exp148-d-flux-corrected-1,200.06%,2.16GiB / 3GiB,72.01%,33
2026-08-06T05:41:24.8268328Z,doeng-exp148-d-mariadb-1,5.68%,85.75MiB / 1GiB,8.37%,24
2026-08-06T05:41:24.8268328Z,doeng-exp148-d-experiment-mock-1,121.02%,264.3MiB / 1GiB,25.81%,7
2026-08-06T05:41:28.0904889Z,doeng-exp148-d-flux-corrected-1,196.91%,2.201GiB / 3GiB,73.35%,33
2026-08-06T05:41:28.0904889Z,doeng-exp148-d-mariadb-1,12.64%,85.84MiB / 1GiB,8.38%,24
2026-08-06T05:41:28.0904889Z,doeng-exp148-d-experiment-mock-1,107.23%,313.4MiB / 1GiB,30.60%,7
